# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.618182,-0.120737,0.000000,-0.000000,-4.614828,9.847478,-8.442411,3.311696,-0.493715,0.131128,-0.000000,0.000000,2.977777,-4.349544,1.962815,-0.176340,-0.048049,0.001839,-0.000000,0.000000,0.663580,-3.143333,4.608299,-2.576812,0.492066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-0.710418,-0.364464,0.156778,0.225698,-1.348626,1.716594,-0.881416,0.162299,0.141464,-0.814611,-0.042953,-0.253649,1.792311,-1.773470,0.711516,-0.106615,0.422773,0.223347,-1.271070,0.702232,0.059141,-0.347268,0.230329,-0.048780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-1.244069,-0.371346,-0.037049,0.699162,-1.496124,1.320597,-0.531041,0.080459,-0.074712,0.599023,0.076361,-0.379477,-0.365605,0.640244,-0.313047,0.053996,-0.297965,-0.074163,0.676016,-0.195331,-0.083148,0.011989,0.008652,-0.001124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-1.782263,-0.322707,-0.062034,-0.098993,0.558315,-0.706178,0.365324,-0.068457,0.031757,-0.435760,0.003211,0.447933,-0.227424,-0.022410,0.055939,-0.014990,0.210119,0.015744,-0.442538,0.043954,0.240055,-0.159371,0.053537,-0.008591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-2.323229,-0.331640,-0.070455,-0.445674,2.011067,-2.209962,0.996458,-0.163836,-0.006139,0.310587,-0.084187,-0.467589,0.932413,-0.979052,0.513508,-0.099019,-0.147636,0.018083,0.293965,-0.100097,-0.129854,0.545200,-0.451474,0.107409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-2.533146,0.005503,0.031976,-0.169802,0.117393,0.164044,-0.207410,0.059131,0.167881,0.343862,0.552837,-0.314613,-0.754766,1.089886,-0.498506,0.074915,0.400748,0.117128,-0.538153,0.851676,-0.439935,-0.124391,0.182438,-0.043568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-2.540915,0.012601,0.448457,1.498932,-3.721142,3.289826,-1.315211,0.199762,0.982519,0.462681,-0.467433,-0.928757,2.284867,-1.822204,0.637721,-0.082671,0.402997,0.014533,0.026059,-0.247916,0.435702,-0.321171,0.106049,-0.012688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-1.817686,0.505151,-0.064318,0.039638,0.223694,-0.383803,0.223202,-0.044471,1.068420,-0.026600,0.037406,0.349910,-0.974850,0.963880,-0.416462,0.066544,0.403625,-0.009483,0.009858,0.104548,-0.240410,0.192450,-0.063522,0.006944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-1.009942,0.511654,-0.025593,-0.319371,1.164928,-1.460335,0.781615,-0.151817,1.072390,0.003999,-0.066018,-0.044245,0.543002,-0.804986,0.458908,-0.092071,0.405221,0.010694,-0.020493,-0.129056,0.344329,-0.300949,0.108259,-0.013280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-0.195114,0.552546,-0.136509,-1.213855,1.433268,-0.431328,-0.096400,0.050193,1.074509,0.027525,-0.112965,-0.813483,0.430528,0.465639,-0.434785,0.094617,0.401717,-0.012960,0.050931,0.206668,-0.790327,0.907126,-0.438261,0.077049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.618182,-0.032686,-0.028935,-0.007096,0.644931,-1.732035,1.833282,-0.865376,0.151979,0.437403,-0.520829,-0.239307,0.026652,1.508324,-1.878275,0.875037,-0.145912,0.405524,-0.013107,-0.048142,0.194245,0.677141,-2.293837,1.766569,-0.412139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
